month,year,ranking,player_id,points
January,2013,41,1,1008
February,2013,40,1,973
March,2013,31,1,1137
April,2013,35,1,1112
May,2013,28,1,1272
June,2013,28,1,1400
July,2013,29,1,1330
August,2013,31,1,1315
September,2013,29,1,1375
October,2013,28,1,1375
November,2013,23,1,1520
December,2013,23,1,1520
January,2014,23,1,1460
February,2014,19,1,1810
March,2014,16,1,2130
April,2014,15,1,2130
May,2014,14,1,2200
June,2014,13,1,2435
July,2014,9,1,3270
August,2014,8,1,3270
September,2014,10,1,3710
October,2014,10,1,3710
November,2014,11,1,3645
December,2014,11,1,3645
January,2015,11,1,3645
February,2015,11,1,3465
March,2015,11,1,3055
April,2015,11,1,3055
May,2015,11,1,2985
June,2015,11,1,2760
July,2015,16,1,1970
August,2015,16,1,1970
September,2015,19,1,1600
October,2015,21,1,1555
November,2015,29,1,1315
December,2015,28,1,1360
January,2016,28,1,1360
February,2016,28,1,1330
March,2016,26,1,1420
April,2016,27,1,1430
May,2016,28,1,1355
June,2016,36,1,1150
July,2016,37,1,1150
August,2016,34,1,1285
September,2016,22,1,1690
October,2016,20,1,1735
November,2016,17,1,2035
December,2016,17,1,2035
January,2017,17,1,2035
February,2017,13,1,2765
March,2017,13,1,2925
April,2017,12,1,2880
May,2017,13,1,2820
June,2017,12,1,2980
July,2017,11,1,3070
August,2017,11,1,3070
September,2017,9,1,3575
October,2017,8,1,3575
November,2017,6,1,3650
December,2017,3,1,5150
January,2013,839,2,15
February,2013,842,2,15
March,2013,842,2,15
April,2013,821,2,16
May,2013,822,2,16
June,2013,814,2,17
July,2013,793,2,20
August,2013,799,2,20
September,2013,846,2,18
October,2013,745,2,24
November,2013,708,2,29
December,2013,808,2,21
January,2014,808,2,21
February,2014,807,2,21
March,2014,811,2,21
April,2014,822,2,20
May,2014,774,2,25
June,2014,675,2,36
July,2014,285,2,163
August,2014,159,2,343
September,2014,150,2,366
October,2014,143,2,393
November,2014,136,2,391
December,2014,137,2,389
January,2015,134,2,389
February,2015,135,2,389
March,2015,136,2,407
April,2015,119,2,473
May,2015,110,2,488
June,2015,84,2,609
July,2015,81,2,613
August,2015,96,2,523
September,2015,79,2,652
October,2015,78,2,633
November,2015,82,2,647
December,2015,83,2,647
January,2016,83,2,647
